"numThree","rmse"
10,2.1458556971963
11,2.16175618973897
12,2.14174791904369
13,2.1394624121297
14,2.16853499656131
15,2.14494353745383
16,2.14858985294178
17,2.15903870759655
18,2.14813440198744
19,2.14129101281576
20,2.15404775297891
21,2.16988821665966
22,2.16356594827254
23,2.15450195388074
24,2.16220877138106
25,2.15132053379754
26,2.1440309896408
27,2.1444873120871
28,2.17709118490642
29,2.17124059336724
30,2.12983650135518
31,2.15359345628442
32,2.14813440198744
33,2.16672938842428
34,2.14174791904369
35,2.15313906373663
36,2.15495605905048
37,2.1408340090729
38,2.13580051400322
39,2.14494353745383
40,2.15495605905048
41,2.15631780077187
42,2.14904520737159
43,2.15404775297891
44,2.14539966580295
45,2.15450195388074
46,2.16988821665966
47,2.14311805326148
48,2.1371744610826
49,2.16175618973897
50,2.14357457005295
51,2.12983650135518
52,2.14220472781908
53,2.12247317248206
54,2.14904520737159
55,2.1472232102595
56,2.15313906373663
57,2.16356594827254
58,2.16175618973897
59,2.13854752544595
60,2.1444873120871
61,2.17439286800309
62,2.14129101281576
63,2.16447026009814
64,2.14129101281576
65,2.15359345628442
66,2.16582601986785
67,2.15132053379754
68,2.14676746936287
69,2.14037690775263
70,2.15586398243563
71,2.1458556971963
72,2.14767885444718
73,2.1472232102595
74,2.16537419426162
75,2.15222999083829
76,2.14174791904369
77,2.14767885444718
78,2.13442568250318
79,2.15268457527484
80,2.14220472781908
81,2.1444873120871
82,2.15858546130047
83,2.16447026009814
84,2.14220472781908
85,2.14494353745383
86,2.15268457527484
87,2.15858546130047
88,2.15767868307886
89,2.14311805326148
90,2.15858546130047
91,2.15086566107149
92,2.15359345628442
93,2.16718093149231
94,2.15722515103326
95,2.13671657688644
96,2.14539966580295
97,2.15404775297891
98,2.15450195388074
99,2.13534233518984
100,2.16537419426162
