max iter: 1000 size: 100
"5" 2 27 486 453 0
"6" 0 1 79 73 18
"7" 0 0 0 2 1
----- l = 0.27
"2" "3" "4" "5" "6"
"1" 0 18 7 0 1
"2" 21 121 52 1 0
"3" 6 1408 476 22 1
"4" 5 470 1927 137 2
"5" 0 65 535 363 5
"6" 0 1 94 59 17
"7" 0 0 1 2 0
----- l = 0.28
"2" "3" "4" "5" "6"
"1" 2 14 7 2 1
"2" 41 108 45 1 0
"3" 13 1410 468 21 1
"4" 13 457 1882 181 8
"5" 1 49 470 440 8
"6" 0 1 99 51 20
"7" 0 0 0 2 1
----- l = 0.29
"2" "3" "4" "5" "6"
"1" 3 15 6 2 0
"2" 65 74 54 2 0
"3" 31 1352 494 35 1
"4" 16 428 1898 193 6
"5" 2 51 406 507 2
"6" 2 5 77 70 17
"7" 0 0 1 2 0
----- l = 0.3
"2" "3" "4" "5" "6"
"1" 0 13 13 0 0
"2" 28 92 75 0 0
"3" 2 1188 701 22 0
"4" 2 299 2051 189 0
"5" 1 27 475 464 1
"6" 0 4 99 61 7
"7" 0 0 1 2 0
----- l = 0.31
"2" "3" "4" "5" "6"
"1" 1 19 6 0 0
"2" 26 111 58 0 0
"3" 3 1365 533 12 0
"4" 3 420 2000 116 2
"5" 1 44 529 393 1
"6" 0 3 104 49 15
"7" 0 0 0 3 0
----- l = 0.32
"2" "3" "4" "5" "6"
"1" 1 17 6 1 1
"2" 33 111 47 4 0
"3" 13 1349 524 27 0
"4" 4 415 1884 234 4
"5" 1 49 423 488 7
"6" 0 6 69 75 21
"7" 0 0 1 2 0
----- l = 0.33
"2" "3" "4" "5" "6"
"1" 2 13 8 2 1
"2" 47 74 70 4 0
"3" 11 1168 670 62 2
"4" 10 293 2002 235 1
"5" 2 21 400 542 3
"6" 0 0 79 75 17
"7" 0 0 0 3 0
----- l = 0.34
"2" "3" "4" "5" "6"
"1" 1 17 6 1 1
"2" 29 108 51 6 1
"3" 9 1390 490 22 2
"4" 6 398 1998 132 7
"5" 0 54 482 421 11
"6" 1 4 67 56 43
"7" 0 0 0 2 1
----- l = 0.35
"2" "3" "4" "5" "6"
"1" 2 11 11 1 1
"2" 31 89 73 2 0
"3" 21 1244 621 27 0
"4" 3 328 2044 166 0
"5" 1 32 466 467 2
"6" 2 0 78 77 14
"7" 0 0 0 3 0
----- l = 0.36
"2" "3" "4" "5" "6"
"1" 2 12 10 2 0
