max iter: 1000 size: 100
----- l = 0.01
"2" "3" "4" "5"
"1" 1 16 9 0
"2" 0 128 66 1
"3" 0 1334 560 19
"4" 0 749 1653 139
"5" 0 69 680 219
"6" 0 7 119 45
"7" 0 0 0 3
----- l = 0.02
"2" "3" "4" "5"
"1" 1 16 9 0
"2" 0 110 83 2
"3" 1 1102 797 13
"4" 0 460 1988 93
"5" 0 27 737 204
"6" 0 0 131 40
"7" 0 0 1 2
----- l = 0.03
"2" "3" "4" "5"
"1" 2 14 10 0
"2" 7 91 94 3
"3" 3 1028 849 33
"4" 4 374 1907 256
"5" 0 25 578 365
"6" 0 0 95 76
"7" 0 0 1 2
----- l = 0.04
"2" "3" "4" "5"
"1" 1 15 10 0
"2" 3 106 84 2
"3" 1 1106 769 37
"4" 1 437 1867 236
"5" 0 29 583 356
"6" 0 0 94 77
"7" 0 0 1 2
----- l = 0.05
"2" "3" "4" "5"
"1" 0 15 11 0
"2" 1 117 76 1
"3" 1 1186 720 6
"4" 0 503 1960 78
"5" 0 27 730 211
"6" 0 0 128 43
"7" 0 0 1 2
----- l = 0.06
"2" "3" "4" "5"
"1" 1 12 13 0
"2" 2 93 99 1
"3" 0 895 1001 17
"4" 1 291 2089 160
"5" 0 9 667 292
"6" 0 0 122 49
"7" 0 0 0 3
----- l = 0.07
"2" "3" "4" "5" "6"
"1" 1 16 9 0 0
"2" 1 130 63 1 0
"3" 1 1313 587 12 0
"4" 1 609 1807 124 0
"5" 0 50 649 268 1
"6" 0 4 120 47 0
"7" 0 0 1 2 0
----- l = 0.08
"2" "3" "4" "5" "6"
"1" 0 19 5 2 0
"2" 2 148 42 3 0
"3" 5 1479 384 45 0
"4" 1 893 1270 376 1
"5" 0 97 413 457 1
"6" 0 8 72 90 1
"7" 0 0 1 2 0
----- l = 0.09
"2" "3" "4" "5"
"1" 0 20 5 1
"2" 4 136 51 4
"3" 1 1401 463 48
"4" 0 718 1489 334
"5" 0 60 467 441
"6" 0 7 70 94
"7" 0 0 1 2
----- l = 0.1
"2" "3" "4" "5"
"1" 1 16 8 1
"2" 4 110 80 1
"3" 1 1199 691 22
"4" 0 481 1865 195
"5" 0 32 600 336
"6" 0 1 106 64
"7" 0 0 1 2
----- l = 0.11
"2" "3" "4" "5"
"1" 0 18 8 0
"2" 4 138 51 2
"3" 1 1348 533 31
"4" 1 667 1653 220
"5" 0 47 539 382
"6" 0 0 101 70
"7" 0 0 1 2
----- l = 0.12
"2" "3" "4" "5" "6"
"1" 0 19 6 1 0
"2" 1 115 76 3 0
"3" 1 1074 803 34 1
"4" 0 412 1881 248 0
"5" 0 25 564 379 0
"6" 0 0 104 66 1
"7" 0 0 0 3 0
----- l = 0.13
"2" "3" "4" "5" "6"
"1" 1 12 13 0 0
"2" 11 75 108 1 0
"3" 6 827 1057 23 0
"4" 5 225 2183 127 1
"5" 0 16 667 284 1
"6" 0 1 108 56 6
"7" 0 0 1 2 0
----- l = 0.14
"2" "3" "4" "5" "6"
"1" 0 19 7 0 0
"2" 1 140 52 2 0
"3" 0 1349 541 23 0
"4" 0 630 1731 180 0
"5" 0 51 586 330 1
"6" 0 1 106 62 2
"7" 0 0 1 2 0
----- l = 0.15
"2" "3" "4" "5" "6"
"1" 1 15 9 1 0
"2" 6 104 85 0 0
"3" 1 1146 743 22 1
"4" 2 454 1938 145 2
"5" 0 28 667 273 0
"6" 0 0 117 53 1
"7" 0 0 1 2 0
----- l = 0.16
"2" "3" "4" "5"
"1" 0 17 7 2
"2" 5 98 91 1
"3" 1 1109 787 16
"4" 2 406 1988 145
"5" 0 25 648 295
"6" 0 0 120 51
"7" 0 0 1 2
----- l = 0.17
"2" "3" "4" "5" "6"
"1" 1 19 6 0 0
"2" 4 134 55 2 0
"3" 3 1397 484 28 1
"4" 1 765 1504 270 1
"5" 0 80 480 405 3
"6" 0 1 75 89 6
"7" 0 0 1 2 0
----- l = 0.18
"2" "3" "4" "5" "6"
"1" 1 14 11 0 0
"2" 4 110 80 1 0
"3" 1 1056 833 23 0
"4" 1 367 2018 155 0
"5" 0 21 630 315 2
"6" 0 0 117 51 3
"7" 0 0 1 2 0
----- l = 0.19
"2" "3" "4" "5" "6"
"1" 1 14 10 1 0
"2" 12 93 90 0 0
"3" 5 1089 790 29 0
"4" 3 381 1991 166 0
"5" 0 25 582 361 0
"6" 0 0 107 63 1
"7" 0 0 1 2 0
----- l = 0.2
"2" "3" "4" "5" "6"
"1" 2 15 9 0 0
"2" 8 105 80 2 0
"3" 6 1137 747 23 0
"4" 6 431 1914 188 2
"5" 0 22 568 378 0
"6" 0 0 102 67 2
"7" 0 0 0 3 0
----- l = 0.21
"2" "3" "4" "5" "6"
"1" 1 16 9 0 0
"2" 15 101 76 3 0
"3" 8 1166 704 35 0
"4" 4 441 1826 269 1
"5" 0 29 513 426 0
"6" 0 0 88 79 4
"7" 0 0 1 2 0
----- l = 0.22
"2" "3" "4" "5" "6"
"1" 2 19 4 1 0
"2" 11 107 75 2 0
"3" 6 1237 651 19 0
"4" 3 484 1895 156 3
"5" 0 45 576 346 1
"6" 0 1 98 67 5
"7" 0 0 1 2 0
----- l = 0.23
"2" "3" "4" "5" "6"
"1" 3 12 10 1 0
"2" 17 117 57 4 0
"3" 15 1299 562 37 0
"4" 4 572 1725 239 1
"5" 0 60 485 423 0
"6" 0 1 85 84 1
"7" 0 0 1 2 0
----- l = 0.24
"2" "3" "4" "5" "6"
"1" 0 15 11 0 0
"2" 6 104 84 1 0
"3" 4 1218 674 17 0
"4" 0 494 1943 104 0
"5" 0 37 680 251 0
"6" 0 0 126 43 2
"7" 0 0 2 1 0
----- l = 0.25
"2" "3" "4" "5" "6"
"1" 2 16 6 2 0
"2" 10 97 86 2 0
"3" 4 1049 825 35 0
"4" 5 356 1956 223 1
"5" 0 23 572 371 2
"6" 0 0 83 85 3
"7" 0 0 0 3 0
----- l = 0.26
"2" "3" "4" "5" "6"
"1" 0 18 8 0 0
"2" 11 103 78 2 1
"3" 5 1165 721 20 2
"4" 8 461 1954 104 14
"5" 0 29 673 252 14
"6" 0 0 114 40 17
"7" 0 0 1 1 1
----- l = 0.27
"2" "3" "4" "5" "6"
"1" 0 15 10 1 0
"2" 4 110 80 1 0
"3" 0 1172 729 12 0
"4" 0 470 1977 92 2
"5" 0 27 704 237 0
"6" 0 1 124 43 3
"7" 0 0 2 1 0
----- l = 0.28
"2" "3" "4" "5" "6"
"1" 2 12 12 0 0
"2" 16 76 101 2 0
"3" 16 1015 857 25 0
"4" 6 323 2042 169 1
"5" 0 20 596 352 0
"6" 0 0 106 61 4
"7" 0 0 0 3 0
----- l = 0.29
"2" "3" "4" "5" "6"
"1" 0 17 9 0 0
"2" 8 100 86 1 0
"3" 2 1174 725 11 1
"4" 3 448 2010 79 1
"5" 0 28 723 215 2
"6" 0 0 125 39 7
"7" 0 0 1 2 0
----- l = 0.3
"2" "3" "4" "5" "6"
"1" 1 19 5 1 0
"2" 10 118 60 6 1
"3" 4 1286 569 54 0
"4" 4 580 1586 364 7
"5" 0 47 435 481 5
"6" 0 2 60 103 6
"7" 0 0 0 3 0
----- l = 0.31
"2" "3" "4" "5" "6"
"1" 0 19 6 1 0
"2" 4 138 48 4 1
"3" 2 1408 454 49 0
"4" 0 693 1535 306 7
"5" 0 60 429 477 2
"6" 0 0 62 101 8
"7" 0 0 0 3 0
----- l = 0.32
"2" "3" "4" "5" "6"
"1" 0 21 4 1 0
"2" 10 141 39 5 0
"3" 2 1532 325 54 0
"4" 2 976 1236 327 0
"5" 0 120 371 477 0
"6" 0 8 65 97 1
"7" 0 0 1 2 0
----- l = 0.33
"2" "3" "4" "5" "6"
"1" 0 19 7 0 0
"2" 11 107 75 2 0
"3" 1 1242 654 16 0
"4" 1 484 1943 111 2
"5" 0 45 681 240 2
"6" 0 0 125 42 4
"7" 0 0 3 0 0
----- l = 0.34
"2" "3" "4" "5" "6"
"1" 2 9 15 0 0
"2" 10 73 110 2 0
"3" 5 905 988 15 0
"4" 1 238 2168 134 0
"5" 0 9 672 287 0
"6" 0 0 117 50 4
"7" 0 0 1 2 0
----- l = 0.35
"2" "3" "4" "5" "6"
"1" 1 20 5 0 0
"2" 11 112 66 5 1
"3" 5 1256 591 59 2
"4" 5 556 1611 369 0
"5" 0 58 395 510 5
"6" 0 0 69 95 7
"7" 0 0 1 2 0
----- l = 0.36
"2" "3" "4" "5" "6"
"1" 0 16 10 0 0
"2" 8 107 76 4 0
"3" 2 1235 628 48 0
"4" 1 506 1694 338 2
"5" 0 46 450 471 1
"6" 0 4 72 88 7
"7" 0 0 0 3 0
----- l = 0.37
"2" "3" "4" "5" "6"
"1" 1 17 8 0 0
"2" 10 123 60 2 0
"3" 1 1279 612 21 0
"4" 1 594 1815 131 0
"5" 0 56 620 292 0
