max iter: 1000 size: 100
----- l = 0.01
"2" "3" "4" "5" "6"
"7" 0 0 1 2 0
----- l = 0.27
"2" "3" "4" "5" "6"
"1" 1 5 9 1 0
"2" 50 47 44 3 0
"3" 12 904 380 17 0
"4" 6 179 1692 93 1
"5" 1 20 361 400 2
"6" 0 4 77 62 13
"7" 0 0 0 3 0
----- l = 0.28
"2" "3" "4" "5" "6"
"1" 1 5 5 4 1
"2" 51 51 32 10 0
"3" 6 940 299 66 2
"4" 6 276 1432 254 3
"5" 0 24 225 531 4
"6" 0 3 45 86 22
"7" 0 0 0 2 1
----- l = 0.29
"2" "3" "4" "5" "6"
"1" 0 8 7 1 0
"2" 45 64 34 1 0
"3" 10 868 425 9 1
"4" 1 251 1664 50 5
"5" 0 32 403 336 13
"6" 0 6 97 30 23
"7" 0 0 2 1 0
----- l = 0.3
"2" "3" "4" "5" "6"
"1" 0 9 6 1 0
"2" 42 65 35 2 0
"3" 3 1045 257 8 0
"4" 1 334 1501 135 0
"5" 0 49 293 439 3
"6" 0 3 85 53 15
"7" 0 0 1 2 0
----- l = 0.31
"2" "3" "4" "5" "6"
"1" 1 6 9 0 0
"2" 47 52 40 4 1
"3" 3 945 345 19 1
"4" 7 253 1603 102 6
"5" 0 41 353 378 12
"6" 0 0 83 41 32
"7" 0 0 0 2 1
----- l = 0.32
"2" "3" "4" "5" "6"
"1" 1 8 7 0 0
"2" 26 82 35 1 0
"3" 1 1023 251 37 1
"4" 1 348 1414 207 1
"5" 0 50 243 490 1
"6" 1 1 69 78 7
"7" 0 0 1 2 0
----- l = 0.33
"2" "3" "4" "5" "6"
"1" 1 8 6 0 1
"2" 48 55 40 1 0
"3" 11 913 360 26 3
"4" 11 193 1600 160 7
"5" 2 24 307 446 5
"6" 0 6 71 54 25
"7" 0 0 0 2 1
----- l = 0.34
"2" "3" "4" "5" "6"
"1" 1 8 7 0 0
"2" 54 62 23 5 0
"3" 10 971 270 62 0
"4" 4 283 1391 292 1
"5" 0 31 237 513 3
"6" 0 6 39 81 30
"7" 0 0 0 3 0
----- l = 0.35
"2" "3" "4" "5" "6"
"1" 0 7 7 2 0
"2" 41 78 23 2 0
"3" 8 991 295 17 2
"4" 4 292 1569 104 2
"5" 0 54 300 424 6
"6" 1 7 71 47 30
"7" 0 0 2 1 0
----- l = 0.36
"2" "3" "4" "5" "6"
"1" 0 9 6 1 0
"2" 50 62 31 1 0
"3" 8 983 284 38 0
"4" 2 263 1532 174 0
"5" 2 30 292 459 1
"6" 0 5 64 73 14
"7" 0 0 0 2 1
----- l = 0.37
"2" "3" "4" "5" "6"
"1" 2 2 11 1 0
"2" 57 36 50 1 0
"3" 20 858 422 10 3
"4" 9 186 1719 56 1
