max iter: 1000 size: 100
"5" 0 0 11 37 136 0
"6" 0 0 0 1 11 3
----- l = 0.29
"1" "2" "3" "4" "5" "6"
"1" 4 0 4 2 0 0
"2" 0 8 26 17 0 0
"3" 0 0 511 85 4 0
"4" 0 0 98 465 7 0
"5" 0 0 7 69 108 0
"6" 0 0 2 6 5 2
----- l = 0.3
"1" "2" "3" "4" "5" "6"
"1" 4 0 5 1 0 0
"2" 0 10 26 11 4 0
"3" 0 1 534 45 20 0
"4" 0 0 84 461 25 0
"5" 0 0 9 17 158 0
"6" 0 0 0 3 10 2
----- l = 0.31
"1" "2" "3" "4" "5" "6"
"1" 3 1 6 0 0 0
"2" 0 5 35 8 3 0
"3" 0 0 535 57 8 0
"4" 0 1 116 410 43 0
"5" 0 0 10 27 147 0
"6" 0 0 0 2 9 4
----- l = 0.32
"1" "2" "3" "4" "5" "6"
"1" 5 0 3 2 0 0
"2" 0 10 22 18 1 0
"3" 0 1 498 97 4 0
"4" 0 1 72 488 9 0
"5" 0 0 6 59 119 0
"6" 0 0 1 9 4 1
----- l = 0.33
"1" "2" "3" "4" "5" "6"
"1" 5 0 4 1 0 0
"2" 0 9 26 14 2 0
"3" 0 0 514 79 7 0
"4" 0 0 67 478 25 0
"5" 0 0 5 44 135 0
"6" 0 0 0 2 10 3
----- l = 0.34
"1" "2" "3" "4" "5" "6"
"1" 3 1 5 1 0 0
"2" 0 8 25 17 1 0
"3" 0 0 530 67 3 0
"4" 0 0 90 462 18 0
"5" 0 0 7 34 143 0
"6" 0 0 0 3 7 5
----- l = 0.35
"1" "2" "3" "4" "5" "6"
"1" 4 0 5 1 0 0
"2" 2 7 27 13 2 0
"3" 0 0 515 80 5 0
"4" 0 1 83 478 8 0
"5" 0 0 13 37 134 0
"6" 0 0 2 3 4 6
----- l = 0.36
"1" "2" "3" "4" "5" "6"
"1" 4 1 3 2 0 0
"2" 1 15 18 14 3 0
"3" 1 1 519 75 4 0
"4" 0 7 82 463 18 0
"5" 0 0 7 31 146 0
"6" 0 0 0 3 7 5
----- l = 0.37
"1" "2" "3" "4" "5" "6"
"1" 4 0 3 3 0 0
"2" 0 7 23 20 1 0
"3" 0 0 508 85 7 0
"4" 0 0 62 493 15 0
"5" 0 0 5 49 129 1
"6" 0 0 0 4 6 5
----- l = 0.38
"1" "2" "3" "4" "5" "6"
"1" 3 1 5 1 0 0
"2" 0 19 15 17 0 0
"3" 1 2 491 100 6 0
"4" 0 4 61 490 15 0
"5" 0 0 9 51 124 0
"6" 0 0 2 6 4 3
----- l = 0.39
"1" "2" "3" "4" "5" "6"
"1" 4 1 3 2 0 0
"2" 0 13 17 18 3 0
"3" 1 6 486 99 8 0
"4" 0 1 56 492 21 0
"5" 0 0 8 45 131 0
"6" 0 0 0 4 7 4
----- l = 0.4
"1" "2" "3" "4" "5" "6"
"1" 5 1 4 0 0 0
"2" 0 12 26 12 1 0
"3" 0 0 517 79 4 0
"4" 0 3 60 491 16 0
"5" 0 0 8 39 136 1
"6" 0 0 1 3 6 5
----- l = 0.41
"1" "2" "3" "4" "5" "6"
"1" 3 0 5 1 1 0
"2" 0 16 19 14 2 0
"3" 0 2 491 104 3 0
"4" 0 6 52 503 9 0
"5" 0 0 6 45 133 0
"6" 0 0 0 8 3 4
----- l = 0.42
"1" "2" "3" "4" "5" "6"
"1" 3 1 3 3 0 0
"2" 0 15 19 15 2 0
"3" 0 2 497 97 4 0
"4" 0 0 68 498 4 0
"5" 0 0 3 80 101 0
"6" 0 0 0 10 2 3
----- l = 0.43
"1" "2" "3" "4" "5" "6"
"1" 5 0 4 1 0 0
"2" 0 13 30 5 3 0
"3" 0 2 530 57 11 0
"4" 0 2 74 457 37 0
"5" 0 1 10 26 147 0
"6" 0 0 1 2 8 4
----- l = 0.44
"1" "2" "3" "4" "5" "6"
"1" 4 1 3 2 0 0
"2" 1 15 19 13 3 0
"3" 0 1 528 62 9 0
"4" 0 0 82 460 28 0
"5" 0 0 9 29 146 0
"6" 0 0 2 1 7 5
----- l = 0.45
"1" "2" "3" "4" "5" "6"
"1" 5 0 4 1 0 0
"2" 0 14 24 13 0 0
"3" 0 1 538 52 9 0
"4" 0 1 90 453 26 0
"5" 0 0 9 25 150 0
"6" 0 0 0 2 11 2
----- l = 0.46
