"numThree","rmse"
10,2.08687076403854
11,2.10522033590831
12,2.17299182951162
13,2.15109714678609
14,2.16070337002894
15,2.10100004365349
16,2.13452875777102
17,2.12619614785927
18,2.11503493613346
19,2.1248042026051
20,2.13175484008477
21,2.13729907529997
22,2.14282896572063
23,2.06262887350645
24,2.12758718245221
25,2.15933366886434
26,2.12341134489881
27,2.15933366886434
28,2.14696703645429
29,2.09818179953629
30,2.1483446221183
31,2.11643330649194
32,2.13175484008477
33,2.12897730816893
34,2.12897730816893
35,2.14972132499725
36,2.12897730816893
37,2.12619614785927
38,2.16070337002894
39,2.15521934248029
40,2.14696703645429
41,2.16753889286236
42,2.1248042026051
43,2.14558856630482
44,2.15109714678609
45,2.11922727907014
46,2.13175484008477
47,2.15247208917434
48,2.13868288837813
49,2.14696703645429
50,2.13175484008477
51,2.1359143656792
52,2.10802917016073
53,2.15933366886434
54,2.1483446221183
55,2.15659165675018
56,2.11503493613346
57,2.16753889286236
58,2.15796309832393
59,2.15384615384615
60,2.14972132499725
61,2.14282896572063
62,2.14420920996405
63,2.12341134489881
64,2.12341134489881
65,2.1359143656792
66,2.12341134489881
67,2.14972132499725
68,2.14696703645429
69,2.16207220347003
70,2.13452875777102
71,2.14006580665285
72,2.13729907529997
73,2.14696703645429
74,2.14972132499725
75,2.1359143656792
76,2.14282896572063
77,2.13452875777102
78,2.15247208917434
79,2.1248042026051
80,2.13175484008477
81,2.1414478318577
82,2.11363564062063
83,2.14558856630482
84,2.1414478318577
85,2.14972132499725
86,2.11083426677111
87,2.13868288837813
88,2.12341134489881
89,2.15933366886434
90,2.13452875777102
91,2.14006580665285
92,2.14972132499725
93,2.14558856630482
94,2.12062288493696
95,2.15384615384615
96,2.1414478318577
97,2.15384615384615
98,2.11783075352865
99,2.12897730816893
100,2.12062288493696
