"numThree","rmse"
10,2.23256453942559
11,2.27166671572196
12,2.26519656098154
13,2.2264202573698
14,2.26433247681469
15,2.25002717965754
16,2.25870787231244
17,2.25567342988944
18,2.24480265129221
19,2.25610717153942
20,2.24043957107177
21,2.25263489988329
22,2.28198080605802
23,2.2530692264852
24,2.25654082981763
25,2.23475483185801
26,2.26606031565963
27,2.22378179672648
28,2.24480265129221
29,2.22598073110802
30,2.22069963059282
31,2.25654082981763
32,2.2595741073864
33,2.26044001050589
34,2.24218582197684
35,2.26087283770192
36,2.23344091415588
37,2.22949451503331
38,2.26519656098154
39,2.22949451503331
40,2.22290161391079
41,2.25350346937764
42,2.25610717153942
43,2.21981822566403
44,2.23956593501942
45,2.24654551075607
46,2.23738035244061
47,2.25220048952348
48,2.22817749541555
49,2.22510141812443
50,2.24610992267427
51,2.25263489988329
52,2.24000279563706
53,2.25046200953495
54,2.23825484157013
55,2.22729904969033
56,2.25610717153942
57,2.25784130490195
58,2.23431694514236
59,2.24305843762458
60,2.24741643364622
61,2.25176599535728
62,2.23650552137982
63,2.24087626137337
64,2.25393762860898
65,2.239128989169
66,2.25567342988944
67,2.23869195803589
68,2.233002769784
69,2.23738035244061
70,2.24174938677622
71,2.25176599535728
72,2.24698101439702
73,2.25046200953495
74,2.26346806278173
75,2.24087626137337
76,2.25784130490195
77,2.24567425010249
78,2.24567425010249
79,2.26519656098154
80,2.24610992267427
81,2.2595741073864
82,2.22773831585173
83,2.24393071393118
84,2.23168782054653
85,2.24393071393118
86,2.23387897259182
87,2.23344091415588
88,2.25350346937764
89,2.2595741073864
90,2.25523960481958
91,2.23956593501942
92,2.23650552137982
93,2.24741643364622
94,2.25176599535728
95,2.23606797749979
96,2.24872218553346
97,2.24523849299155
98,2.24043957107177
99,2.25393762860898
100,2.24305843762458
