"numThree","rmse"
10,2.15903870759655
11,2.11970532974079
12,2.15541006854862
13,2.15359345628442
14,2.1275381986448
15,2.13900501770179
16,2.13763224719926
17,2.16988821665966
18,2.12523741047456
19,2.15767868307886
20,2.15813211981457
21,2.13488405804427
22,2.15586398243563
23,2.15767868307886
24,2.14767885444718
25,2.15132053379754
26,2.15268457527484
27,2.13854752544595
28,2.1394624121297
29,2.14858985294178
30,2.1444873120871
31,2.1380899352994
32,2.11970532974079
33,2.14311805326148
34,2.13029586435014
35,2.1394624121297
36,2.13625859454769
37,2.13900501770179
38,2.13350863598072
39,2.1408340090729
40,2.15903870759655
41,2.14357457005295
42,2.13213232664322
43,2.14174791904369
44,2.16356594827254
45,2.14676746936287
46,2.15450195388074
47,2.13213232664322
48,2.13350863598072
49,2.15631780077187
50,2.14494353745383
51,2.14813440198744
52,2.16898616373493
53,2.1394624121297
54,2.1463116316957
55,2.15495605905048
56,2.13121429330609
57,2.15268457527484
58,2.15631780077187
59,2.16988821665966
60,2.1440309896408
61,2.16492227435808
62,2.17078989474414
63,2.13442568250318
64,2.15132053379754
65,2.15313906373663
66,2.15722515103326
67,2.13121429330609
68,2.16175618973897
69,2.16356594827254
70,2.15767868307886
71,2.16627775123575
72,2.15450195388074
73,2.16085074208051
74,2.15586398243563
75,2.15813211981457
76,2.1463116316957
77,2.16220877138106
78,2.14995562690295
79,2.13167335939505
80,2.1680837355021
81,2.15177531036616
82,2.15041069212699
83,2.14858985294178
84,2.14767885444718
85,2.16763238049866
86,2.15404775297891
87,2.17124059336724
88,2.17259212825901
89,2.14995562690295
90,2.15949185876276
91,2.16220877138106
92,2.15767868307886
93,2.15541006854862
94,2.15767868307886
95,2.15677152361766
96,2.16311365058844
97,2.14357457005295
98,2.15132053379754
99,2.18023500052959
100,2.17214171006649
