"numThree","rmse"
10,2.1788882064133
11,2.16853499656131
12,2.15949185876276
13,2.14539966580295
14,2.1325911951144
15,2.12661818208345
16,2.16537419426162
17,2.15177531036616
18,2.13991970879243
19,2.15313906373663
20,2.16492227435808
21,2.14357457005295
22,2.15086566107149
23,2.15450195388074
24,2.16853499656131
25,2.16853499656131
26,2.15313906373663
27,2.14995562690295
28,2.14494353745383
29,2.1463116316957
30,2.15177531036616
31,2.16266125831107
32,2.14311805326148
33,2.16672938842428
34,2.15541006854862
35,2.16130351332531
36,2.13854752544595
37,2.14037690775263
38,2.14357457005295
39,2.16537419426162
40,2.15132053379754
41,2.13167335939505
42,2.15813211981457
43,2.16085074208051
44,2.14995562690295
45,2.16988821665966
46,2.1458556971963
47,2.15813211981457
48,2.1463116316957
49,2.1458556971963
50,2.13991970879243
51,2.16130351332531
52,2.14174791904369
53,2.15041069212699
54,2.16130351332531
55,2.14995562690295
56,2.15858546130047
57,2.17978616161582
58,2.16492227435808
59,2.15313906373663
60,2.15677152361766
61,2.15268457527484
62,2.15132053379754
63,2.15858546130047
64,2.14767885444718
65,2.16175618973897
66,2.15177531036616
67,2.15586398243563
68,2.14813440198744
69,2.16401815142269
70,2.14311805326148
71,2.14266143920425
72,2.1463116316957
73,2.15949185876276
74,2.14950046533822
75,2.15722515103326
76,2.14676746936287
77,2.13167335939505
78,2.15132053379754
79,2.15041069212699
80,2.14539966580295
81,2.15450195388074
82,2.1680837355021
83,2.16266125831107
84,2.16582601986785
85,2.16492227435808
86,2.14904520737159
87,2.15268457527484
88,2.15813211981457
89,2.14904520737159
90,2.15767868307886
91,2.16175618973897
92,2.14174791904369
93,2.16537419426162
94,2.14950046533822
95,2.16266125831107
96,2.13350863598072
97,2.15767868307886
98,2.16220877138106
99,2.16085074208051
100,2.14995562690295
