"numThree","rmse"
10,2.12201757294365
11,2.15247208917434
12,2.19466809502879
13,2.18521118636028
14,2.15659165675018
15,2.1933196045205
16,2.10381451248882
17,2.11503493613346
18,2.1359143656792
19,2.10100004365349
20,2.12897730816893
21,2.09677125699062
22,2.18521118636028
23,2.11922727907014
24,2.14006580665285
25,2.13729907529997
26,2.17707256893614
27,2.10522033590831
28,2.16617351389673
29,2.17026707379475
30,2.16617351389673
31,2.12758718245221
32,2.15521934248029
33,2.11363564062063
34,2.14420920996405
35,2.13868288837813
36,2.13729907529997
37,2.1248042026051
38,2.14558856630482
39,2.10943218473878
40,2.11503493613346
41,2.16207220347003
42,2.12758718245221
43,2.14972132499725
44,2.15247208917434
45,2.1414478318577
46,2.1483446221183
47,2.16617351389673
48,2.12062288493696
49,2.13729907529997
50,2.10802917016073
51,2.14558856630482
52,2.1483446221183
53,2.13868288837813
54,2.16070337002894
55,2.15659165675018
56,2.13036652678865
57,2.14558856630482
58,2.17162987899894
59,2.17299182951162
60,2.12341134489881
61,2.14282896572063
62,2.14420920996405
63,2.17707256893614
64,2.10381451248882
65,2.1414478318577
66,2.1483446221183
67,2.1359143656792
68,2.16344017083465
69,2.1414478318577
70,2.1483446221183
71,2.14558856630482
72,2.17162987899894
73,2.12201757294365
74,2.13452875777102
75,2.13452875777102
76,2.14420920996405
77,2.13314224982493
78,2.16207220347003
79,2.14006580665285
80,2.16480727376466
81,2.0995913944548
82,2.13452875777102
83,2.12619614785927
84,2.15109714678609
85,2.13729907529997
86,2.16207220347003
87,2.12201757294365
88,2.18926914934734
89,2.14972132499725
90,2.14006580665285
91,2.11643330649194
92,2.10100004365349
93,2.14696703645429
94,2.16753889286236
95,2.14420920996405
96,2.15247208917434
97,2.14006580665285
98,2.11922727907014
99,2.12062288493696
100,2.15247208917434
